"","Species","CommonName","TaxonomicGrouping","FilterRegion","FilterSubRegion","ManagementBody","ManagementPlan","DistributionProjectName"
"49","Sebastes alutus","Pacific ocean perch","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"50","Sebastes borealis","Shortraker rockfish","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"51","Sebastes polyspinis","Northern rockfish","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"52","Sebastolobus alascanus","Shortspine thornyhead","Perciformes/Scorpaenoidei (Scorpionfishes)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"53","Solaster dawsoni","Morning sun star","Asteroidea (starfishes)","Alaska","Aleutian Islands",NA,NA,"Not for IDW"
"54","Triglops forficatus","Scissortail sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"55","Triglops scepticus","Spectacled sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Aleutian Islands","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"56","Zaprora silenus","Prowfish","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","Aleutian Islands",NA,NA,"NMFS/Rutgers IDW Interpolation"
"57","Anoplopoma fimbria","Sablefish","Perciformes/Cottoidei (sculpins)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","Not for IDW"
"58","Arctoraja parmifera","Alaska skate","Elasmobranchii: Batoidea (skates, rays)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","Not for IDW"
"59","Aspidophoroides monopterygius","Alligatorfish","Perciformes/Cottoidei (sculpins)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"60","Asterias amurensis","North pacific seastar","Asteroidea (starfishes)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"61","Aulacofusus herendeeni","Thin-ribbed whelk","Gastropoda (sea snails and slugs)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"62","Bathymaster signatus","Searcher","Perciformes/Zoarcoidei (Eelpouts and pricklebacks)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"63","Boreogadus saida","Arctic cod","Gadiformes (Cods, genadiers, pollock)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"64","Chionoecetes bairdi","Tanner crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea","NPFMC","Bering Sea/Aleutian Islands King and Tanner Crabs","NMFS/Rutgers IDW Interpolation"
"65","Chionoecetes opilio","Snow crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea","NPFMC","Bering Sea/Aleutian Islands King and Tanner Crabs","NMFS/Rutgers IDW Interpolation"
"66","Ciliatocardium ciliatum","Hairy cockle","Bivalvia (clams, muscles, oyster, arks, etc)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"67","Clupea pallasii","Pacific herring","Clupeiformes (Herrings, anchovy, shad)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"68","Crossaster papposus","Common sunstar","Asteroidea (starfishes)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"69","Ctenodiscus crispatus","Mud star","Asteroidea (starfishes)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"70","Dasycottus setiger","Spinyhead sculpin","Perciformes/Cottoidei (sculpins)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"71","Echinarachnius parma","Common sand dollar","Echinoidea (sea urchins, sand dollars)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"72","Elassochirus cavimanus","Purple hermit","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"73","Eleginus gracilis","Saffron cod","Gadiformes (Cods, genadiers, pollock)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"74","Enteroctopus dofleini","North pacific giant octopus","Cephalopoda (squid, octopus)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","Not for IDW"
"75","Erimacrus isenbeckii","Hair crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea",NA,NA,"NMFS/Rutgers IDW Interpolation"
"76","Evasterias echinosoma","Giant sea star","Asteroidea (starfishes)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"77","Gadus chalcogrammus","Walleye pollock","Gadiformes (Cods, genadiers, pollock)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"78","Gadus macrocephalus","Pacific cod","Gadiformes (Cods, genadiers, pollock)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
"79","Glebocarcinus oregonensis","Pygmy rock crab","Decapoda (Crabs/Lobster/Shrimp)","Alaska","Eastern Bering Sea",NA,NA,"Not for IDW"
"80","Glyptocephalus zachirus","Rex sole","Pleuronectiformes (Flatfishes)","Alaska","Eastern Bering Sea","NPFMC","Groundfish of the Bering Sea and Aleutian Islands Management Area","NMFS/Rutgers IDW Interpolation"
