,Species,CommonName,TaxonomicGrouping,FilterRegion,FilterSubRegion,ManagementBody,ManagementPlan,DistributionProjectName
365,Anasimus latus,Stilt spider crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
366,Anchoa hepsetus,Striped anchovy,"Clupeiformes (Herrings, anchovy, shad)",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
367,Anchoa mitchilli,Bay anchovy,"Clupeiformes (Herrings, anchovy, shad)",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
368,Ancylopsetta dilecta,Three-eye flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,,Not for IDW
369,Ancylopsetta quadrocellata,Ocellated flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
370,Apogon pseudomaculatus,Twospot cardinalfish,"Kurtiformes (Nurseryfishes, cardinalfishes.)",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
371,Apogon quadrisquamatus,Sawcheek cardinalfish,"Kurtiformes (Nurseryfishes, cardinalfishes.)",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
372,Arbacia punctulata,Purple-spined sea urchin,"Echinoidea (sea urchins, sand dollars) ",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
373,Argopecten gibbus,Calico scallop,"Bivalvia (clams, muscles, oyster, arks, etc)",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
374,Ariopsis felis,Hardhead catfish,Siluriformes (catfishes),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
375,Balistes capriscus,Gray triggerfish,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
376,Bellator militaris,Horned searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
377,Bollmannia communis,Ragged goby,Gobiiformes (Gobies),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
378,Bothus robinsi,Twospot flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
379,Brevoortia patronus,Gulf menhaden,"Clupeiformes (Herrings, anchovy, shad)",Gulf of Mexico,Gulf of Mexico,GSMFC,Gulf Menhaden Fishery Regional Management Plan,Not for IDW
380,Brotula barbata,Bearded brotula,Ophidiiformes (Cusk eels) ,Gulf of Mexico,Gulf of Mexico,,,Not for IDW
381,Calamus arctifrons,Grass porgy,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
382,Calamus nodosus,Knobbed porgy,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
383,Calamus proridens,Littlehead porgy,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
384,Calappa flammea,Flame box crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
385,Calappa sulcata,Yellow box crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
386,Callinectes sapidus,Blue crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GSMFC,Interstate Fishery Management Plan ,NMFS/Rutgers IDW Interpolation
387,Callinectes similis,Lesser blue crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
388,Centropristis ocyurus,Bank sea bass,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
389,Centropristis philadelphica,Rock sea bass,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
390,Chaetodipterus faber,Atlantic spadefish,Acanthuriformes (Surgeonfishes),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
391,Chaetodon ocellatus,Spotfin butterflyfish,Acanthuriformes (Surgeonfishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
392,Chaetodon sedentarius,Reef butterflyfish,Acanthuriformes (Surgeonfishes),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
393,Chilomycterus schoepfii,Striped burrfish,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
394,Chloroscombrus chrysurus,Atlantic bumper,Carangiformes (Jacks),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
395,Chrysaora quinquecirrha,Sea nettle,"Cnidaria (jellyfish, corals, anenomes) ",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
396,Citharichthys macrops,Spotted whiff,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
397,Citharichthys spilopterus,Bay whiff,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
398,Coryrhynchus sidneyi,Shortfinger neck crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
399,Cyclopsetta chittendeni,Mexican flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
400,Cyclopsetta fimbriata,Spotfin flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
401,Cynoscion arenarius,Sand weakfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,GSMFC,Interstate Fishery Management Plan ,NMFS/Rutgers IDW Interpolation
402,Cynoscion nothus,Silver seatrout,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,GSMFC,Interstate Fishery Management Plan ,NMFS/Rutgers IDW Interpolation
403,Decapterus punctatus,Round scad,Carangiformes (Jacks),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
404,Diplectrum bivittatum,Dwarf sand perch,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
405,Diplectrum formosum,Sand perch,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
406,Doryteuthis sp,Inshore Squid sp.,"Cephalopoda (squid, octopus)",Gulf of Mexico,Gulf of Mexico,GMFMC,,NMFS/Rutgers IDW Interpolation
407,Echiophis intertinctus,Spotted spoon-nose eel,Anguilliformes (Eels and morays),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
408,Encope aberrans,NA,"Echinoidea (sea urchins, sand dollars) ",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
409,Engyophrys senta,Spiny flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,,Not for IDW
410,Epinephelus morio,Red grouper,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
411,Eques lanceolatus,Jackknife-fish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
412,Etropus crossotus,Fringed flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
413,Etropus rimosus,Gray flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,,Not for IDW
414,Eucidaris tribuloides,Slate pencil urchin,"Echinoidea (sea urchins, sand dollars) ",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
415,Eucinostomus gula,Silver jenny,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
416,Eucinostomus harengulus,Tidewater mojarra,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
417,Euvola marensis,Paper scallop,"Bivalvia (clams, muscles, oyster, arks, etc)",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
418,Euvola raveneli,Round rib scallop,"Bivalvia (clams, muscles, oyster, arks, etc)",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
419,Fowlerichthys radiosus,Singlespot frogfish,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
420,Gastropsetta frontalis,Shrimp flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,,Not for IDW
421,Gymnothorax saxicola,Honeycomb moray,Anguilliformes (Eels and morays),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
422,Haemulon aurolineatum,Tomtate grunt,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
423,Haemulon plumierii,White grunt,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
424,Halieutichthys sp,Batfishes,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
425,Harengula jaguana,Scaled sardine,"Clupeiformes (Herrings, anchovy, shad)",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
426,Hepatus epheliticus,Calico box crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
427,Hippocampus erectus,Lined seahorse,Syngnathiformes (Seahorses),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
428,Holacanthus bermudensis,Blue angelfish,Acanthuriformes (Surgeonfishes),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
429,Iliacantha liodactylus,NA,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
430,Kathetostoma albigutta,Lancer stargazer,Perciformes/Uranoscopoidei (Sand dwellers),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
431,Laevicardium mortoni,Yellow eggcockle,"Bivalvia (clams, muscles, oyster, arks, etc)",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
432,Lagocephalus laevigatus,Smooth puffer,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
433,Lagodon rhomboides,Pinfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
434,Larimus fasciatus,Banded drum,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
435,Leiolambrus nitidus,White elbow crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
436,Leiostomus xanthurus,Spot,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
437,Lepophidium brevibarbe,Blackedge cusk-eel,Ophidiiformes (Cusk eels) ,Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
438,Lepophidium jeannae,Mottled cusk-eel,Ophidiiformes (Cusk eels) ,Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
439,Lolliguncula brevis,Atlantic brief squid,"Cephalopoda (squid, octopus)",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
440,Luidia alternata,Banded sea star,Asteroidea (starfishes) ,Gulf of Mexico,Gulf of Mexico,,,Not for IDW
441,Luidia clathrata,Lined sea star,Asteroidea (starfishes) ,Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
442,Luidia lawrencei,NA,Asteroidea (starfishes) ,Gulf of Mexico,Gulf of Mexico,,,Not for IDW
443,Lutjanus campechanus,Red snapper,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
444,Lutjanus griseus,Gray snapper,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
445,Lutjanus synagris,Lane snapper,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
446,Lytechinus variegatus,Variegated sea urchin,"Echinoidea (sea urchins, sand dollars) ",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
447,Lytechinus variegatus carolinus,NA,"Echinoidea (sea urchins, sand dollars) ",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
448,Menticirrhus americanus,Southern kingfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
449,Metapenaeopsis goodei,Caribbean velvet shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
450,Micropogonias undulatus,Atlantic croaker,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
451,Mithrax pleuracanthus,Shaggy clinging crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
452,Monacanthus ciliatus,Fringed filefish,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
453,Moreiradromia antillensis,Hairy sponge crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
454,Mullus auratus,Red goatfish,Mulliformes (Goatfishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
455,Nicholsina usta,Emerald parrotfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
456,Octopus joubini,Atlantic pygmy octopus,"Cephalopoda (squid, octopus)",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
457,Octopus vulgaris,Common octopus,"Cephalopoda (squid, octopus)",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
458,Ogcocephalus corniger,Longnose batfish,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
459,Ogcocephalus cubifrons,NA,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
460,Ogcocephalus declivirostris,Slantbrow batfish,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
461,Ogcocephalus pantostictus,Spotted batfish,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
462,Ogcocephalus parvus,Roughback batfish,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
463,Ogcocephalus radiatus,Polka-dot batfish,Lophiiformes (Anglerfishes),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
464,Ophidion holbrookii,Bank cusk-eel,Ophidiiformes (Cusk eels) ,Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
465,Ophiolepis elegans,Elegant brittle star,Ophiuroidea (brittle stars),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
466,Ophiothrix (Ophiothrix) angulata,Angular brittle star,Ophiuroidea (brittle stars),Alaska,Gulf of Mexico,,,Not for IDW
467,Opisthonema oglinum,Atlantic thread herring,"Clupeiformes (Herrings, anchovy, shad)",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
468,Orthopristis chrysoptera,Pigfish,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
469,Ovalipes floridanus,Florida lady crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
470,Pagrus pagrus,Red porgy,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
471,Paguristes sericeus,Blue-eyed hermit,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
472,Paralichthys albigutta,Gulf flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,,Not for IDW
473,Paralichthys lethostigma,Southern flounder,Pleuronectiformes (Flatfishes) ,Gulf of Mexico,Gulf of Mexico,,,Not for IDW
474,Parapenaeus politus,Rose shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
475,Pareques umbrosus,Cubbyu,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
476,Penaeus aztecus,Brown shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
477,Penaeus aztecus,Brown shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GSMFC,Interstate Fishery Management Plan ,NMFS/Rutgers IDW Interpolation
478,Penaeus duorarum,Pink shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
479,Penaeus duorarum,Pink shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GSMFC,Interstate Fishery Management Plan ,NMFS/Rutgers IDW Interpolation
480,Penaeus setiferus,Northern white shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
481,Penaeus setiferus,Northern white shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GSMFC,Interstate Fishery Management Plan ,NMFS/Rutgers IDW Interpolation
482,Peprilus burti,Gulf butterfish,Scombriformes (Mackerels),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
483,Peprilus paru,Harvestfish,Scombriformes (Mackerels),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
484,Pitarenus cordatus,Corded pitar,"Bivalvia (clams, muscles, oyster, arks, etc)",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
485,Platylambrus granulatus,Bladetooth elbow crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
486,Polydactylus octonemus,Atlantic threadfin,"Carangaria/misc (barracuda, threadfins)",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
487,Polystira albida,White giant-turris,Gastropoda (sea snails and slugs),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
488,Porichthys plectrodon,Atlantic midshipman,Batrachoidiformes (Toadfishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
489,Priacanthus arenatus,Atlantic bigeye,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,,Not for IDW
490,Prionotus alatus,Spiny searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
491,Prionotus longispinosus,Bigeye searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
492,Prionotus martis,Gulf of mexico barred searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
493,Prionotus ophryas,Bandtail searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
494,Prionotus paralatus,Mexican searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
495,Prionotus roseus,Bluespotted searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
496,Prionotus rubio,Blackwing searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
497,Prionotus scitulus,Leopard searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
498,Prionotus stearnsi,Shortwing searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
499,Prionotus tribulus,Bighead searobin,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
500,Pristipomoides aquilonaris,Wenchman,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
501,Pseudorhombila quadridentata,Flecked squareback crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
502,Raninoides louisianensis,Gulf frog crab,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
503,Renilla muelleri,Mueller's sea pansy,"Cnidaria (jellyfish, corals, anenomes) ",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
504,Rhizoprionodon terraenovae,Atlantic sharpnose shark,Elasmobranchii: Selachii (sharks),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
505,Rhomboplites aurorubens,Vermilion snapper,"Eupercaria (drums, croakers, porgies, tilefishes, parrotfish, snappers) ",Gulf of Mexico,Gulf of Mexico,GMFMC,Reef Fish Resources of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
506,Rhynchoconger flavus,Yellow conger,Anguilliformes (Eels and morays),Gulf of Mexico,Gulf of Mexico,,,Not for IDW
507,Rostroraja eglanteria,Clearnose skate,"Elasmobranchii: Batoidea (skates, rays)",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
508,Rostroraja texana,Roundel skate,"Elasmobranchii: Batoidea (skates, rays)",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
509,Sardinella aurita,Spanish sardine,"Clupeiformes (Herrings, anchovy, shad)",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
510,Saurida brasiliensis,Largescale lizardfish,"Aulopiformes (Grinners, lizardfish)",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
511,Saurida normani,Shortjaw lizardfish,"Aulopiformes (Grinners, lizardfish)",Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
512,Scomberomorus maculatus,Spanish mackerel,Scombriformes (Mackerels),Gulf of Mexico,Gulf of Mexico,GMFMC,Coastal Migratory Pelagic Resources of the Gulf of Mexico and South Atlantic,Not for IDW
513,Scorpaena agassizii,Longfin scorpionfish,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
514,Scorpaena brasiliensis,Barbfish,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
515,Scorpaena calcarata,Smoothhead scorpionfish,Perciformes/Scorpaenoidei (Scorpionfishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
516,Scyllarides nodifer,Ridged slipper lobster,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
517,Scyllarus chacei,Chace slipper lobster,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
518,Selene setapinnis,Atlantic moonfish,Carangiformes (Jacks),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
519,Serranus atrobranchus,Blackear bass,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
520,Serranus notospilus,Saddle bass,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
521,Serranus phoebe,Tattler,Perciformes/Serranoidei (Groupers),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
522,Sicyonia brevirostris,Brown rock shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
523,Sicyonia dorsalis,Lesser rock shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
524,Solenocera atlantidis,Dwarf humpback shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
525,Solenocera vioscai,Humpback shrimp,Decapoda (Crabs/Lobster/Shrimp),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
526,Sphoeroides dorsalis,Marbled puffer,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
527,Sphoeroides parvus,Least puffer,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
528,Sphoeroides spengleri,Bandtail puffer,Tetraodontiformes (puffers and filefishes),Gulf of Mexico,Gulf of Mexico,,,NMFS/Rutgers IDW Interpolation
529,Squilla chydaea,Offshore mantis shrimp,Stomatopoda (mantis shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
530,Squilla empusa,Mantis shrimp,Stomatopoda (mantis shrimp),Gulf of Mexico,Gulf of Mexico,GMFMC,Shrimp Fishery of the Gulf of Mexico,NMFS/Rutgers IDW Interpolation
